trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
346,False,"{'a': 0.5, 'e': 0.021238808173646012}",20,16,9.129790058320523,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.5, 'e': 0.07118016071700255}",30,22,14.876789798070158,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.5, 'e': 0.12094359992847767}",30,17,-30.974938429074353,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
349,False,"{'a': 0.5, 'e': 0.17040474312633733}",20,11,-34.70615520507858,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
350,False,"{'a': 0.5, 'e': 0.2194399632114593}",20,6,-31.027071173515388,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
351,False,"{'a': 0.5, 'e': 0.2679266976706763}",25,10,-8.289643198107342,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
352,False,"{'a': 0.5, 'e': 0.31574375491924334}",20,0,7.147951457110262,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
353,False,"{'a': 0.5, 'e': 0.36277161721668105}",25,11,1.9849878293155978,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
354,False,"{'a': 0.5, 'e': 0.4088927393988798}",20,16,7.474372399307089,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.5, 'e': 0.45399184267980686}",25,5,-70.73353981445823,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",1
356,False,"{'a': 0.5, 'e': 0.49795620278841546}",30,0,-87.65308430167062,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
357,False,"{'a': 0.5, 'e': 0.5406759317206302}",20,12,-39.52309168007943,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
358,False,"{'a': 0.5, 'e': 0.5820442524021253}",25,0,-186.16615038135092,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",1
359,False,"{'a': 0.5, 'e': 0.6219577655753992}",25,1,-19.743816454391855,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 0}",1
360,False,"{'a': 0.5, 'e': 0.6603167082440802}",25,17,-6.003771357154078,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
361,False,"{'a': 0.5, 'e': 0.6970252030284447}",25,6,-40.628014105549866,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
362,False,"{'a': 0.5, 'e': 0.7319914978089467}",20,8,-33.69620028769826,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
363,False,"{'a': 0.5, 'e': 0.765128195058729}",30,0,-175.69708953905825,"{0: 17, 1: 6, 2: 4, 3: 0, 4: 3}",0
364,False,"{'a': 0.5, 'e': 0.7963524702919231}",20,0,-52.74487602642095,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
365,False,"{'a': 0.5, 'e': 0.8255862790817391}",30,0,-92.12664068350925,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
366,False,"{'a': 0.5, 'e': 0.8527565521308732}",20,0,-37.896769768270794,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
367,False,"{'a': 0.5, 'e': 0.8777953779067071}",20,0,-116.21702863852397,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
368,False,"{'a': 0.5, 'e': 0.90064017238477}",20,10,-30.7099370294113,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 0}",1
369,False,"{'a': 0.5, 'e': 0.921233835476204}",20,0,-86.75628968337146,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
370,False,"{'a': 0.5, 'e': 0.939524893748256}",20,0,-30.379467689121306,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
371,False,"{'a': 0.5, 'e': 0.9554676290810432}",30,0,-134.65795900699104,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",1
372,False,"{'a': 0.5, 'e': 0.9690221929390499}",25,0,-90.91703875574119,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
373,False,"{'a': 0.5, 'e': 0.9801547059717113}",20,0,-75.70270705921138,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
374,False,"{'a': 0.5, 'e': 0.9888373426941459}",25,0,-128.4046568385337,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
375,False,"{'a': 0.5, 'e': 0.9950484010363788}",25,9,-143.23207805690487,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 3}",1
376,False,"{'a': 0.5, 'e': 0.9987723565872102}",25,0,-144.09093577876465,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
377,False,"{'a': 0.5, 'e': 0.9999999013971618}",20,0,-83.49761642047399,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
378,False,"{'a': 0.5, 'e': 0.9987279672435014}",30,2,-128.00494699174615,"{0: 14, 1: 3, 2: 9, 3: 2, 4: 0}",1
379,False,"{'a': 0.5, 'e': 0.9949597332992033}",30,0,-64.48252355678665,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
380,False,"{'a': 0.5, 'e': 0.9887046181866692}",20,0,-89.18652168048614,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
381,False,"{'a': 0.5, 'e': 0.9799782564360798}",25,0,-174.0288242682649,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
382,False,"{'a': 0.5, 'e': 0.9688024594072101}",20,0,-91.65509522091304,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
383,False,"{'a': 0.5, 'e': 0.9552051607723898}",30,0,-181.64796988367414,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
384,False,"{'a': 0.5, 'e': 0.9392203466968696}",20,0,-68.40149087554737,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
385,False,"{'a': 0.5, 'e': 0.9208879708911095}",20,0,-39.9428452888376,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
386,False,"{'a': 0.5, 'e': 0.9002538547473045}",20,0,-110.14611773372627,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
387,False,"{'a': 0.5, 'e': 0.8773695728097755}",20,0,-146.15242875563098,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
388,False,"{'a': 0.5, 'e': 0.8522923238654625}",20,5,-69.23317321990167,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 2}",1
389,False,"{'a': 0.5, 'e': 0.8250847879767477}",20,0,-99.20558439972646,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
390,False,"{'a': 0.5, 'e': 0.7958149698139441}",20,10,-46.454101540430045,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
391,False,"{'a': 0.5, 'e': 0.7645560286790279}",25,15,7.855095006705535,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.5, 'e': 0.7313860956454967}",25,0,-0.12503024646094518,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",1
393,False,"{'a': 0.5, 'e': 0.6963880782713671}",25,0,-17.872040716355166,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
394,False,"{'a': 0.5, 'e': 0.6596494533734593}",30,0,-83.4954113250272,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
395,False,"{'a': 0.5, 'e': 0.6212620483809149}",20,6,-99.84635290977349,"{0: 8, 1: 0, 2: 3, 3: 2, 4: 1}",1
396,False,"{'a': 0.5, 'e': 0.5813218118144357}",20,2,4.469148138388908,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
397,False,"{'a': 0.5, 'e': 0.5399285734649675}",20,10,-53.7311407176492,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 1}",1
398,False,"{'a': 0.5, 'e': 0.4971857948712022}",30,16,-26.34749122415231,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
399,False,"{'a': 0.5, 'e': 0.4532003107196154}",25,19,-1.6822270215605948,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
400,False,"{'a': 0.5, 'e': 0.408082061813392}",20,10,23.676173358343927,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
